code	parent	level	unit	name
01		1	thành phố	Hà Nội
001	01	2	quận	Ba Đình
00001	001	3	phường	Phúc Xá
00004	001	3	phường	Trúc Bạch
00006	001	3	phường	Vĩnh Phúc
00007	001	3	phường	Cống Vị
00008	001	3	phường	Liễu Giai
00013	001	3	phường	Quán Thánh
00016	001	3	phường	Ngọc Hà
00019	001	3	phường	Điện Biên
00022	001	3	phường	Đội Cấn
00025	001	3	phường	Ngọc Khánh
00028	001	3	phường	Kim Mã
00031	001	3	phường	Giảng Võ
00034	001	3	phường	Thành Công
002	01	2	quận	Hoàn Kiếm
00037	002	3	phường	Phúc Tân
00040	002	3	phường	Đồng Xuân
00043	002	3	phường	Hàng Mã
00046	002	3	phường	Hàng Buồm
00049	002	3	phường	Hàng Đào
00052	002	3	phường	Hàng Bồ
00055	002	3	phường	Cửa Đông
00058	002	3	phường	Lý Thái Tổ
00061	002	3	phường	Hàng Bạc
00064	002	3	phường	Hàng Gai
00067	002	3	phường	Chương Dương
00070	002	3	phường	Hàng Trống
00073	002	3	phường	Cửa Nam
00076	002	3	phường	Hàng Bông
00079	002	3	phường	Tràng Tiền
00082	002	3	phường	Trần Hưng Đạo
00085	002	3	phường	Phan Chu Trinh
00088	002	3	phường	Hàng Bài
003	01	2	quận	Tây Hồ
00091	003	3	phường	Phú Thượng
00094	003	3	phường	Nhật Tân
00097	003	3	phường	Tứ Liên
00100	003	3	phường	Quảng An
00103	003	3	phường	Xuân La
00106	003	3	phường	Yên Phụ
00109	003	3	phường	Bưởi
00112	003	3	phường	Thụy Khuê
004	01	2	quận	Long Biên
00115	004	3	phường	Thượng Thanh
00118	004	3	phường	Ngọc Thụy
00121	004	3	phường	Giang Biên
00124	004	3	phường	Đức Giang
00127	004	3	phường	Việt Hưng
00130	004	3	phường	Gia Thụy
00133	004	3	phường	Ngọc Lâm
00136	004	3	phường	Phúc Lợi
00139	004	3	phường	Bồ Đề
00145	004	3	phường	Long Biên
00148	004	3	phường	Thạch Bàn
00151	004	3	phường	Phúc Đồng
00154	004	3	phường	Cự Khối
005	01	2	quận	Cầu Giấy
00157	005	3	phường	Nghĩa Đô
00160	005	3	phường	Nghĩa Tân
00163	005	3	phường	Mai Dịch
00166	005	3	phường	Dịch Vọng
00167	005	3	phường	Dịch Vọng Hậu
00169	005	3	phường	Quan Hoa
00172	005	3	phường	Yên Hoà
00175	005	3	phường	Trung Hoà
006	01	2	quận	Đống Đa
00178	006	3	phường	Cát Linh
00181	006	3	phường	Văn Miếu - Quốc Tử Giám
00187	006	3	phường	Láng Thượng
00190	006	3	phường	Ô Chợ Dừa
00193	006	3	phường	Văn Chương
00196	006	3	phường	Hàng Bột
00199	006	3	phường	Láng Hạ
00202	006	3	phường	Khâm Thiên
00205	006	3	phường	Thổ Quan
00208	006	3	phường	Nam Đồng
00214	006	3	phường	Quang Trung
00217	006	3	phường	Trung Liệt
00226	006	3	phường	Phương Liên - Trung Tự
00229	006	3	phường	Kim Liên
00232	006	3	phường	Phương Mai
00235	006	3	phường	Thịnh Quang
00238	006	3	phường	Khương Thượng
007	01	2	quận	Hai Bà Trưng
00241	007	3	phường	Nguyễn Du
00244	007	3	phường	Bạch Đằng
00247	007	3	phường	Phạm Đình Hổ
00256	007	3	phường	Lê Đại Hành
00259	007	3	phường	Đồng Nhân
00262	007	3	phường	Phố Huế
00268	007	3	phường	Thanh Lương
00271	007	3	phường	Thanh Nhàn
00277	007	3	phường	Bách Khoa
00280	007	3	phường	Đồng Tâm
00283	007	3	phường	Vĩnh Tuy
00289	007	3	phường	Quỳnh Mai
00292	007	3	phường	Bạch Mai
00295	007	3	phường	Minh Khai
00298	007	3	phường	Trương Định
008	01	2	quận	Hoàng Mai
00301	008	3	phường	Thanh Trì
00304	008	3	phường	Vĩnh Hưng
00307	008	3	phường	Định Công
